seed,brazo,etiqueta,n_edges,n_tri,dof,n_sweeps,eventos_por_sweep,dt,h,h_null,h_shuf,aristas_tocadas,frac_cobertura,frac_aristas_cero,gini_cobertura,entropia_cobertura,conteo_max,conteo_medio,frac_punteria,solape_nodos_trio,disp_intra_trio_destino,disp_intra_trio_real
1,A_correcto,A trío CORRECTO (=REAL),545,161,706,110,483,4.067,0.22749550399512172,1.7278919159300141,0.33012334484696276,336,0.6165137614678899,0.38348623853211006,0.5150758827663495,0.9086094777148946,4.0,0.8862385321100917,1.0,3.0,0.02396763034704506,0.02396763034704506
1,B_casi_correcto,B trío CASI-correcto (1+2),545,161,706,110,483,4.467,0.3350311212477118,1.7278919159300141,0.33012334484696276,322,0.5908256880733945,0.40917431192660547,0.5450718939350772,0.8999000780268283,5.0,0.8862385321100917,0.7598343685300207,0.09937888198757763,0.022978297468668297,0.022586720611285496
1,C_azar,C trío AL AZAR (=REWIRE),545,161,706,110,483,4.941,0.35740383402588505,1.7278919159300141,0.33012334484696276,325,0.5963302752293578,0.4036697247706422,0.5426026174330922,0.9007222214039889,5.0,0.8862385321100917,0.6356107660455487,0.11180124223602485,0.022736414716877786,0.021092931245800115
1,D_sin_trios,D SIN TRÍOS (=GLOBAL),545,161,706,110,545,5.292,0.5522069991985011,1.7278919159300141,0.33012334484696276,545,1.0,0.0,0.0,1.0000000000000002,1.0,1.0,0.6165137614678899,nan,nan,0.017074144087251233
1,E_equivocado,E trío EQUIVOCADO (=LOC.ROTO),545,161,706,110,483,5.135,0.5169920773558416,1.7278919159300141,0.33012334484696276,336,0.6165137614678899,0.38348623853211006,0.5150758827663495,0.9086094777148946,4.0,0.8862385321100917,1.0,3.0,0.03132421008735101,0.03132421008735101
1,F_azar_desalineado,F azar DESALINEADO (nuevo),545,161,706,110,483,4.454,0.44377147201043715,1.7278919159300141,0.33012334484696276,328,0.6018348623853211,0.39816513761467887,0.5361065207894087,0.9027390085505488,4.0,0.8862385321100917,0.6231884057971014,0.13043478260869565,0.029796166095088106,0.028999262476630587
1,G_trio_real_azar,G trío real AZAR c/reempl.,545,161,706,110,483,4.932,0.27414721810730247,1.7278919159300141,0.33012334484696276,241,0.44220183486238535,0.5577981651376147,0.6886546241951108,0.846771609887898,7.0,0.8862385321100917,1.0,3.0,0.02771354868810248,0.02643293690222384
1,H_azarTri_desalin,H sueltas-DE-triáng. desalin.,545,161,706,110,483,4.417,0.4121380285522011,1.7278919159300141,0.33012334484696276,264,0.48440366972477067,0.5155963302752293,0.647801394191502,0.8645834189043746,5.0,0.8862385321100917,1.0,0.11801242236024845,0.03705314956808186,0.03453483733417893
1,I_azarTri_alineado,I sueltas-DE-triáng. alineado,545,161,706,110,483,5.29,0.3092630529264684,1.7278919159300141,0.33012334484696276,262,0.48073394495412847,0.5192660550458715,0.6438277584667693,0.8653225362117994,5.0,0.8862385321100917,1.0,0.11801242236024845,0.019619204047321648,0.016066922315272146
2,A_correcto,A trío CORRECTO (=REAL),513,161,674,116,483,4.679,0.2379983368259918,1.496310689620956,0.3410856906459559,309,0.6023391812865497,0.39766081871345027,0.5469228627123364,0.8996527246049493,6.0,0.9415204678362573,1.0,3.0,0.023189368424217253,0.023189368424217253
