rule_id,brazo,clase,pendiente,z_agg,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,holon_b1,K,J,noise,meandeg,kcap,seed
A2-B0-C2-r0,C2-hard,III,0.9998267074710889,0.864086646217183,2.2271793063721197,2347,2.347,20.0,0.8455,0.7987973728213689,6,0.656,0.292,6.83,4,90211
A2-B0-C2-r0,C2-hibrido,III,1.2461213737098151,1.3871797416221419,2.130410537092424,2499,2.499,16.0,0.7955,0.6619048156313906,6,0.656,0.292,6.83,4,90211
A2-B0-C2-r0,C2-budget-soporte,III,0.8262148941882612,2.6549410675252867,2.110518065147879,2624,2.624,23.0,0.9875,0.7398633251060235,6,0.656,0.292,6.83,4,90211
A2-B0-C2-r0,C2-presupuesto-variable,III,0.7574791890942201,0.5702983260859543,2.407475756382254,3059,3.059,16.0,0.9765,0.7841807226936608,6,0.656,0.292,6.83,4,90211
A2-B0-C2-r0,C0,I,0.338432401453184,0.8485281356238573,1.107157582619104,6830,6.83,7.0,0.9995,1.510436456559732,6,0.656,0.292,6.83,4,90211
A2-B0-C2-r1,C2-hard,III,1.0632882000648969,0.7342708698102586,1.5265218143444044,2305,2.305,19.0,0.849,0.9957685280673134,6,0.311,0.316,6.39,4,90308
A2-B0-C2-r1,C2-hibrido,III,1.3235540837414013,0.5670149128574968,1.6670604359752148,2564,2.564,17.0,0.823,1.0610438989428286,6,0.311,0.316,6.39,4,90308
A2-B0-C2-r1,C2-budget-soporte,I,0.6553249601640259,0.5277916858529361,1.7364992197859508,2928,2.928,16.0,0.9775,1.1386686379282827,6,0.311,0.316,6.39,4,90308
A2-B0-C2-r1,C2-presupuesto-variable,III,0.752984796799054,0.28284271187461874,1.1942477393468365,3386,3.386,14.0,0.978,1.3143132047384924,6,0.311,0.316,6.39,4,90308
A2-B0-C2-r1,C0,II,0.4193842997849375,0.7071067796865478,0.9499963547665702,6390,6.39,8.0,0.997,1.8698475293082404,6,0.311,0.316,6.39,4,90308
A2-B0-C2-r2,C2-hard,I,0.4777129452495882,0.565685423749238,2.095859975422493,4140,4.14,10.0,0.9865,0.6595168091698562,4,0.717,0.338,6.92,6,90405
A2-B0-C2-r2,C2-hibrido,I,0.5656541942306249,0.6363961020928924,1.7065125819366376,5085,5.085,11.0,0.985,0.8081558079309001,4,0.717,0.338,6.92,6,90405
A2-B0-C2-r2,C2-budget-soporte,I,0.45498236665667585,0.4242640678119285,2.9677961455417745,4507,4.507,10.0,0.996,0.5398460207200324,4,0.717,0.338,6.92,6,90405
A2-B0-C2-r2,C2-presupuesto-variable,II,0.4061021304641346,0.4570810079592821,2.4388271332018916,5132,5.132,9.0,0.992,0.6343953676665393,4,0.717,0.338,6.92,6,90405
A2-B0-C2-r2,C0,I,0.27602413638038814,0.8485281356238566,1.023797566800286,6920,6.92,7.0,0.9985,1.3236909295092758,4,0.717,0.338,6.92,6,90405
