rule_id,seed,brazo,ruta_ic,md5_ic,npart,m_part,dt,eps,t_final,nsteps,E0,Ef,deriva_energia_rel,Ekin0,Ekinf,virial_final,error_rel_momento,segundos,ini_fof_ell0.3_nmin3,ini_ngrupos_ell0.3_nmin3,ini_fof_ell0.3_nmin5,ini_ngrupos_ell0.3_nmin5,ini_fof_ell0.3_nmin10,ini_ngrupos_ell0.3_nmin10,ini_fof_ell0.45_nmin3,ini_ngrupos_ell0.45_nmin3,ini_fof_ell0.45_nmin5,ini_ngrupos_ell0.45_nmin5,ini_fof_ell0.45_nmin10,ini_ngrupos_ell0.45_nmin10,ini_fof_ell0.6_nmin3,ini_ngrupos_ell0.6_nmin3,ini_fof_ell0.6_nmin5,ini_ngrupos_ell0.6_nmin5,ini_fof_ell0.6_nmin10,ini_ngrupos_ell0.6_nmin10,ini_fof_ell1.0_nmin3,ini_ngrupos_ell1.0_nmin3,ini_fof_ell1.0_nmin5,ini_ngrupos_ell1.0_nmin5,ini_fof_ell1.0_nmin10,ini_ngrupos_ell1.0_nmin10,ini_fof_ell2.0_nmin3,ini_ngrupos_ell2.0_nmin3,ini_fof_ell2.0_nmin5,ini_ngrupos_ell2.0_nmin5,ini_fof_ell2.0_nmin10,ini_ngrupos_ell2.0_nmin10,ini_knn8_frac_rho_mayor_100x,ini_knn8_frac_rho_mayor_1000x,fin_fof_ell0.3_nmin3,fin_ngrupos_ell0.3_nmin3,fin_fof_ell0.3_nmin5,fin_ngrupos_ell0.3_nmin5,fin_fof_ell0.3_nmin10,fin_ngrupos_ell0.3_nmin10,fin_fof_ell0.45_nmin3,fin_ngrupos_ell0.45_nmin3,fin_fof_ell0.45_nmin5,fin_ngrupos_ell0.45_nmin5,fin_fof_ell0.45_nmin10,fin_ngrupos_ell0.45_nmin10,fin_fof_ell0.6_nmin3,fin_ngrupos_ell0.6_nmin3,fin_fof_ell0.6_nmin5,fin_ngrupos_ell0.6_nmin5,fin_fof_ell0.6_nmin10,fin_ngrupos_ell0.6_nmin10,fin_fof_ell1.0_nmin3,fin_ngrupos_ell1.0_nmin3,fin_fof_ell1.0_nmin5,fin_ngrupos_ell1.0_nmin5,fin_fof_ell1.0_nmin10,fin_ngrupos_ell1.0_nmin10,fin_fof_ell2.0_nmin3,fin_ngrupos_ell2.0_nmin3,fin_fof_ell2.0_nmin5,fin_ngrupos_ell2.0_nmin5,fin_fof_ell2.0_nmin10,fin_ngrupos_ell2.0_nmin10,fin_knn8_frac_rho_mayor_100x,fin_knn8_frac_rho_mayor_1000x,frac_masa,kappa_v,n_sumideros,t_primer_sumidero,n_triangulos,n_aristas,clustering_local,frac_aristas_multi_tri,gini_tri_nodo,tri_por_arista_media,frac_aristas_en_triangulo,gigante
A2-B0-C2-batch3-r0,471829,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch3-r0_s471829_f703_solap/cosmogenesis_ic.txt,22ed8c62e67999a27da09bec42b16cfb,2000,9.4,0.002,0.6,0.5,250,-3136623.845921339,-3136638.744130948,-4.749759722702574e-06,25380.000000000007,478832.6280601205,0.1324398892335678,1.1477405567774756e-14,77.5,0.048,14,0.0385,8,0.022,4,0.1745,23,0.1555,11,0.1455,8,0.309,62,0.226,11,0.2195,9,0.7035,145,0.5810000000000001,76,0.4065,21,0.8210000000000001,8,0.8210000000000001,8,0.8145,6,0.191,0.052,0.3205,139,0.147,35,0.0735,8,0.523,207,0.286,67,0.126,9,0.5965,221,0.3364999999999999,71,0.1605,9,0.6815,222,0.4665,100,0.2015,9,0.801,161,0.7310000000000001,123,0.451,40,0.222,0.153,0.1539999999999999,1.3713080168776366,8,0.026,57,2308,0.0211666666666666,0.6896551724137931,0.9809444444444444,1.9655172413793105,0.0376949740034662,1706
A2-B0-C2-batch3-r0,471829,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch3-r0_s471829_f703_disj/cosmogenesis_ic.txt,f0a5d3648b23cea40b10aa796ccd4ecf,2000,9.4,0.002,0.6,0.5,250,-3147456.4785167924,-3147474.840968413,-5.8340605329205615e-06,25380.000000000004,470885.7546509336,0.1301378738263462,1.1981536244268286e-14,77.9,0.053,16,0.0415,9,0.018,3,0.1715,25,0.1485,11,0.14,9,0.3325,76,0.2365,17,0.212,8,0.7360000000000001,140,0.627,76,0.4610000000000001,25,0.8330000000000001,9,0.8330000000000001,9,0.8185,5,0.1865,0.0525,0.337,147,0.1495,32,0.0815,8,0.5405,229,0.2565,59,0.1119999999999999,8,0.6204999999999999,239,0.3385,73,0.1495,8,0.7165,232,0.4895,101,0.2175,12,0.8215,154,0.7655,123,0.507,47,0.2345,0.141,0.1455,1.28095238095238,8,0.025,57,2308,0.0319166666666666,0.0,0.9154941520467836,1.0,0.0740901213171577,1729
A2-B0-C2-batch3-r111,482596,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch3-r111_s482596_f703_solap/cosmogenesis_ic.txt,6ec3e415adf7864bb5faaf1607dd7ca3,2000,9.4,0.002,0.6,0.5,250,-3003426.1605583816,-3003437.548299199,-3.7915834146125658e-06,25380.000000000007,353096.67892111925,0.1051968056984578,5.184330309603317e-15,77.9,0.046,14,0.037,8,0.0185,3,0.129,17,0.1185,10,0.113,8,0.226,57,0.1535,12,0.143,8,0.56,140,0.4305,63,0.284,14,0.723,38,0.7190000000000001,36,0.6815,24,0.1395,0.0495,0.2285,97,0.1144999999999999,27,0.064,8,0.405,164,0.214,51,0.097,8,0.4925,193,0.259,55,0.131,9,0.5775,199,0.3675,77,0.1694999999999999,9,0.6995,162,0.6115,114,0.341,31,0.19,0.1205,0.1279999999999999,0.9532710280373832,8,0.028,158,3017,0.0376499999999999,0.8655913978494624,0.964753164556962,2.548387096774193,0.0616506463374212,1846
A2-B0-C2-batch3-r111,482596,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch3-r111_s482596_f703_disj/cosmogenesis_ic.txt,4822330d0c4f2214b1d7b2546136ec83,2000,9.4,0.002,0.6,0.5,250,-2979010.963446773,-2979018.560588024,-2.550222655680421e-06,25380.000000000007,331851.88636179897,0.1002310092403408,1.2319470210051355e-14,77.6,0.038,12,0.0335,9,0.01,2,0.1195,20,0.101,8,0.101,8,0.2055,51,0.149,15,0.133,9,0.5770000000000001,160,0.425,70,0.255,13,0.7240000000000001,30,0.718,26,0.695,19,0.123,0.0485,0.239,100,0.114,25,0.067,8,0.404,159,0.2215,52,0.098,8,0.498,190,0.2995,73,0.1155,8,0.5955,206,0.4005,92,0.1595,9,0.7015,178,0.5915,116,0.3,27,0.1775,0.1145,0.115,0.7101449275362319,8,0.038,158,3017,0.0613833333333333,0.0,0.7830696202531645,1.0,0.1571097116340735,1870
A2-B0-C2-batch3-r60,477649,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch3-r60_s477649_f703_solap/cosmogenesis_ic.txt,fd13ffec31c94e0d9e6adf5f8f4378cc,2000,9.4,0.002,0.6,0.5,250,-2980710.379140381,-2980724.0653632144,-4.591597670439431e-06,25380.000000000007,337902.94743524486,0.101820103956276,9.943299206215508e-15,77.3,0.0455,14,0.0365,8,0.0125,2,0.125,19,0.1155,13,0.0995,8,0.214,45,0.1595,11,0.1505,8,0.527,136,0.3885,57,0.2585,15,0.7070000000000001,24,0.705,23,0.6895,19,0.1355,0.05,0.203,83,0.093,18,0.0655,8,0.3755,155,0.1745,36,0.0975,8,0.4665,189,0.2345,53,0.1095,8,0.557,191,0.348,70,0.1675,8,0.6785000000000001,157,0.5855,105,0.35,34,0.183,0.115,0.1285,1.0285714285714287,8,0.035,187,3068,0.0418,0.9414634146341464,0.9610204991087344,2.7365853658536587,0.066818774445893,1819
A2-B0-C2-batch3-r60,477649,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch3-r60_s477649_f703_disj/cosmogenesis_ic.txt,cb96a0c950f14f5f4599714f5b1256d8,2000,9.4,0.002,0.6,0.5,250,-2985345.852303489,-2985355.724994748,-3.307051091306675e-06,25380.000000000007,318297.8116858491,0.0963472132146352,7.708762317716104e-15,78.0,0.041,13,0.033,8,0.0105,2,0.124,20,0.107,9,0.104,8,0.2264999999999999,62,0.145,11,0.136,8,0.5670000000000001,151,0.4235,68,0.2585,15,0.718,38,0.7075,32,0.6845,25,0.127,0.0495,0.227,94,0.1085,23,0.065,8,0.401,170,0.1985,45,0.0965,9,0.5025,198,0.276,64,0.1169999999999999,9,0.5865,202,0.388,86,0.164,10,0.6935,161,0.6045,111,0.3425,30,0.1765,0.1085,0.119,0.8214285714285713,8,0.034,187,3068,0.0691,0.0,0.7452005347593583,1.0,0.1828552803129074,1851
A2-B0-C2-batch4-r10,572799,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch4-r10_s572799_f703_solap/cosmogenesis_ic.txt,eac7e0d51a3252a99dcae8ed8dce9805,2000,9.4,0.002,0.6,0.5,250,-3027018.518446587,-3027030.155426632,-3.8443702852181615e-06,25380.000000000007,381727.5751532116,0.1119843665417307,1.8030231922827977e-14,116.1,0.043,11,0.0385,8,0.023,4,0.1394999999999999,19,0.1305,13,0.1155,8,0.249,50,0.191,13,0.178,8,0.5770000000000001,144,0.4345,60,0.295,15,0.733,25,0.7295,23,0.718,20,0.154,0.0515,0.232,99,0.1005,19,0.0695,8,0.383,149,0.2035,44,0.104,8,0.4765,179,0.2665,57,0.132,8,0.5840000000000001,196,0.3925,82,0.1905,10,0.71,159,0.632,114,0.3685,32,0.1935,0.1245,0.1339999999999999,1.0416666666666667,8,0.022,280,2994,0.0647,0.8173913043478261,0.9374928571428572,2.4347826086956523,0.1152304609218436,1783
A2-B0-C2-batch4-r10,572799,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch4-r10_s572799_f703_disj/cosmogenesis_ic.txt,ed9e7579d82d7347125012343e248513,2000,9.4,0.002,0.6,0.5,250,-3031632.3709628647,-3031643.305972987,-3.606971025534424e-06,25380.00000000001,383761.1668725519,0.112361850528591,6.298606606057647e-15,116.7,0.041,14,0.032,8,0.0105,2,0.138,23,0.1185,11,0.1095,8,0.2465,61,0.173,15,0.154,8,0.6215,154,0.483,72,0.305,15,0.7445,23,0.7425,22,0.718,15,0.147,0.0515,0.2455,103,0.108,22,0.071,8,0.414,170,0.212,50,0.0985,8,0.5135000000000001,202,0.2725,60,0.126,8,0.609,212,0.3785,78,0.17,8,0.727,160,0.652,116,0.3845,36,0.19,0.126,0.131,1.0571428571428567,8,0.033,280,2994,0.1135833333333333,0.0,0.6449988095238095,1.0,0.280561122244489,1829
A2-B0-C2-batch4-r36,575321,solap,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch4-r36_s575321_f703_solap/cosmogenesis_ic.txt,06dabd7b08fe1028b7356dd65864a1f9,2000,9.4,0.002,0.6,0.5,250,-3133486.639438526,-3133512.3252403606,-8.197195262144747e-06,25380.0,467353.3607918664,0.1297891678117104,7.906446465060508e-15,117.3,0.045,14,0.0345,8,0.0105,2,0.164,17,0.154,11,0.1485,9,0.3195,67,0.2395,16,0.2185,8,0.72,161,0.5885,84,0.368,16,0.8235,8,0.8235,8,0.8170000000000001,6,0.1845,0.0515,0.3095,136,0.123,24,0.0805,8,0.497,211,0.2235,50,0.1065,8,0.597,238,0.3055,67,0.1394999999999999,8,0.6885000000000001,235,0.4335,87,0.2035,10,0.809,166,0.7425,129,0.4355,39,0.2185,0.137,0.1504999999999999,1.3076923076923077,8,0.032,90,2343,0.0338333333333333,0.7122302158273381,0.9679592592592592,1.9424460431654675,0.0593256508749466,1732
A2-B0-C2-batch4-r36,575321,disj,/Users/alexis/phantom_cs073/bateria_fase7_f703_organizacion/A2-B0-C2-batch4-r36_s575321_f703_disj/cosmogenesis_ic.txt,bbf191f6ffc43776f1404485df85444d,2000,9.4,0.002,0.6,0.5,250,-3138662.451557898,-3138678.9152978994,-5.245463714411436e-06,25380.000000000007,447705.1937725722,0.1248347026299449,3.5380464894682902e-15,117.4,0.0525,14,0.043,8,0.03,5,0.165,21,0.1475,10,0.1425,8,0.317,73,0.2215,14,0.206,8,0.7415,145,0.636,84,0.436,25,0.83,11,0.83,11,0.8175,7,0.1815,0.051,0.3325,150,0.133,29,0.0755,8,0.5285000000000001,217,0.2714999999999999,66,0.109,8,0.619,236,0.3475,78,0.154,10,0.705,232,0.4755,102,0.206,12,0.807,155,0.743,119,0.4965,46,0.2305,0.137,0.1455,1.1973684210526314,8,0.034,90,2343,0.0505,0.0,0.8679666666666667,1.0,0.115236875800256,1747
